Human Ensembl,Mouse Ensembl,Mouse Gene,Mouse Uniprot,Human Gene,Human Uniprot
ENSG00000005981,ENSMUSG00000042607,Asb4,Q9WV71,ASB4,Q9Y574
ENSG00000006007,ENSMUSG00000033917,Gde1,Q9JL56,GDE1,Q9NZC3
ENSG00000006015,ENSMUSG00000058833,Rex1bd,Q9CYZ6,REX1BD,Q96EN9
ENSG00000006016,ENSMUSG00000007888,Crlf1,Q9JM58,CRLF1,O75462
ENSG00000006042,ENSMUSG00000035413,Tmem98,Q91X86,TMEM98,Q9Y2Y6
ENSG00000006059,ENSMUSG00000035592,Krt33a,Q8K0Y2,KRT33A,O76009
ENSG00000006059,ENSMUSG00000048981,Krt31,Q61765,KRT33A,O76009
ENSG00000006059,ENSMUSG00000057723,Krt33b,Q61897,KRT33A,O76009
ENSG00000006062,ENSMUSG00000020941,Map3k14,Q9WUL6,MAP3K14,Q99558
ENSG00000006116,ENSMUSG00000066189,Cacng3,Q9JJV5,CACNG3,O60359
ENSG00000006118,ENSMUSG00000024736,Tmem132a,Q922P8,TMEM132A,Q24JP5
ENSG00000006125,ENSMUSG00000035152,Ap2b1,Q9DBG3,AP2B1,P63010
ENSG00000006128,ENSMUSG00000061762,Tac1,P41539,TAC1,P20366
ENSG00000006194,ENSMUSG00000022529,Zfp263,Q8CF60,ZNF263,O14978
ENSG00000006210,ENSMUSG00000031778,Cx3cl1,O35188,CX3CL1,P78423
ENSG00000006282,ENSMUSG00000020867,Spata20,Q80YT5,SPATA20,Q8TB22
ENSG00000006377,ENSMUSG00000029754,Dlx6,P70397,DLX6,P56179
ENSG00000006432,ENSMUSG00000042724,Map3k9,Q3U1V8,MAP3K9,P80192
ENSG00000006451,ENSMUSG00000008859,Rala,P63321,RALA,P11233
ENSG00000006453,ENSMUSG00000038859,Baiap2l1,Q9DBJ3,BAIAP2L1,Q9UHR4
ENSG00000006459,ENSMUSG00000042599,Kdm7a,Q3UWM4,KDM7A,Q6ZMT4
ENSG00000006468,ENSMUSG00000004151,Etv1,P41164,ETV1,P50549
ENSG00000006530,ENSMUSG00000029916,Agk,Q9ESW4,AGK,Q53H12
ENSG00000006534,ENSMUSG00000024885,Aldh3b1,Q80VQ0,ALDH3B1,P43353
ENSG00000006555,ENSMUSG00000034919,Ttc22,Q8C159,TTC22,Q5TAA0
ENSG00000006607,ENSMUSG00000034066,Farp2,Q91VS8,FARP2,O94887
ENSG00000006625,ENSMUSG00000002797,Ggct,Q9D7X8,GGCT,O75223
ENSG00000006634,ENSMUSG00000002297,Dbf4,Q9QZ41,DBF4,Q9UBU7
ENSG00000006638,ENSMUSG00000034881,Tbxa2r,P30987,TBXA2R,P21731
ENSG00000006652,ENSMUSG00000001627,Ifrd1,P19182,IFRD1,O00458
ENSG00000006659,ENSMUSG00000001123,Lgals9,O08573,LGALS14,Q8TCE9
ENSG00000006695,ENSMUSG00000042148,Cox10,Q8CFY5,COX10,Q12887
ENSG00000006704,ENSMUSG00000023079,Gtf2ird1,Q9JI57,GTF2IRD1,Q9UHL9
ENSG00000006712,ENSMUSG00000003437,Paf1,Q8K2T8,PAF1,Q8N7H5
ENSG00000006715,ENSMUSG00000041236,Vps41,Q5KU39,VPS41,P49754
ENSG00000006740,ENSMUSG00000033389,Arhgap44,Q5SSM3,ARHGAP44,Q17R89
ENSG00000006744,ENSMUSG00000020549,Elac2,Q80Y81,ELAC2,Q9BQ52
ENSG00000006747,ENSMUSG00000002565,Scin,Q60604,SCIN,Q9Y6U3
ENSG00000006831,ENSMUSG00000030168,Adipor2,Q8BQS5,ADIPOR2,Q86V24
ENSG00000006837,ENSMUSG00000020389,Cdkl3,Q8BLF2,CDKL3,Q8IVW4
ENSG00000007001,ENSMUSG00000026839,Upp2,Q8CGR7,UPP2,O95045
ENSG00000007038,ENSMUSG00000024116,Prss21,Q9JHJ7,PRSS21,Q9Y6M0
ENSG00000007047,ENSMUSG00000030397,Mark4,Q8CIP4,MARK4,Q96L34
ENSG00000007080,ENSMUSG00000007721,Ccdc124,Q9D8X2,CCDC124,Q96CT7
ENSG00000007129,ENSMUSG00000078795,Ceacam15,A0A0B4J1L0,CEACAM21,Q3KPI0
ENSG00000007168,ENSMUSG00000020745,Pafah1b1,P63005,PAFAH1B1,P43034
ENSG00000007171,ENSMUSG00000020826,Nos2,P29477,NOS2,P35228
ENSG00000007202,ENSMUSG00000010277,Bltp2,Q5SYL3,BLTP2,Q14667
ENSG00000007216,ENSMUSG00000001095,Slc13a2,Q9ES88,SLC13A2,Q13183
ENSG00000007255,ENSMUSG00000002043,Trappc6a,Q78XR0,TRAPPC6A,O75865
ENSG00000007312,ENSMUSG00000040592,Cd79b,P15530,CD79B,P40259
ENSG00000007341,ENSMUSG00000045576,St7l,Q8K4P7,ST7L,Q8TDW4
ENSG00000007350,ENSMUSG00000031397,Tktl1,Q99MX0,TKTL1,P51854
ENSG00000007372,ENSMUSG00000027168,Pax6,P63015,PAX6,P26367
ENSG00000007376,ENSMUSG00000041199,Rpusd1,Q8VCZ8,RPUSD1,Q9UJJ7
ENSG00000007384,ENSMUSG00000020282,Rhbdf1,Q6PIX5,RHBDF1,Q96CC6
ENSG00000007392,ENSMUSG00000024188,Luc7l,Q9CYI4,LUC7L,Q9NQ29
ENSG00000007402,ENSMUSG00000010066,Cacna2d2,Q6PHS9,CACNA2D2,Q9NY47
ENSG00000007516,ENSMUSG00000047507,Baiap3,Q80TT2,BAIAP3,O94812
ENSG00000007520,ENSMUSG00000015126,Tsr3,Q5HZH2,TSR3,Q9UJK0
ENSG00000007541,ENSMUSG00000025728,Pigq,Q9QYT7,PIGQ,Q9BRB3
ENSG00000007545,ENSMUSG00000038002,Cramp1,Q6PG95,CRAMP1,Q96RY5
ENSG00000007866,ENSMUSG00000002249,Tead3,P70210,TEAD3,Q99594
ENSG00000007908,ENSMUSG00000026582,Sele,Q00690,SELE,P16581
ENSG00000007923,ENSMUSG00000039768,Dnajc11,Q5U458,DNAJC11,Q9NVH1
ENSG00000007933,ENSMUSG00000026691,Fmo3,P97501,FMO3,P31513
ENSG00000007944,ENSMUSG00000038175,Mylip,Q8BM54,MYLIP,Q8WY64
ENSG00000007952,ENSMUSG00000031257,Nox1,Q8CIZ9,NOX1,Q9Y5S8
ENSG00000007968,ENSMUSG00000018983,E2f2,P56931,E2F2,Q14209
ENSG00000008018,ENSMUSG00000014769,Psmb1,O09061,PSMB1,P20618
ENSG00000008056,ENSMUSG00000037217,Syn1,O88935,SYN1,P17600
ENSG00000008083,ENSMUSG00000038518,Jarid2,Q62315,JARID2,Q92833
ENSG00000008086,ENSMUSG00000031292,Cdkl5,Q3UTQ8,CDKL5,O76039
ENSG00000008118,ENSMUSG00000016179,Camk1g,Q91VB2,CAMK1G,Q96NX5
ENSG00000008128,ENSMUSG00000029062,Cdk11b,P24788,CDK11A,Q9UQ88
ENSG00000008130,ENSMUSG00000029063,Nadk,P58058,NADK,O95544
ENSG00000008196,ENSMUSG00000025927,Tfap2b,Q61313,TFAP2B,Q92481
ENSG00000008197,ENSMUSG00000042596,Tfap2d,Q91ZK0,TFAP2D,Q7Z6R9
ENSG00000008256,ENSMUSG00000018001,Cyth3,O08967,CYTH3,O43739
ENSG00000008277,ENSMUSG00000040537,Adam22,Q9R1V6,ADAM22,Q9P0K1
ENSG00000008282,ENSMUSG00000020570,Sypl1,O09117,SYPL1,Q16563
ENSG00000008283,ENSMUSG00000019590,Cyb561,Q60720,CYB561,P49447
ENSG00000008294,ENSMUSG00000020859,Spag9,Q58A65,SPAG9,O60271
ENSG00000008300,ENSMUSG00000023473,Celsr3,Q91ZI0,CELSR3,Q9NYQ7
ENSG00000008311,ENSMUSG00000029695,Aass,Q99K67,AASS,Q9UDR5
ENSG00000008323,ENSMUSG00000038167,Plekhg6,Q8R0J1,PLEKHG6,Q3KR16
ENSG00000008324,ENSMUSG00000032526,Ss18l2,Q9D174,SS18L2,Q9UHA2
ENSG00000008382,ENSMUSG00000003199,Mpnd,Q3TV65,MPND,Q8N594
ENSG00000008394,ENSMUSG00000008540,Mgst1,Q91VS7,MGST1,P10620
ENSG00000008405,ENSMUSG00000020038,Cry1,P97784,CRY1,Q16526
ENSG00000008438,ENSMUSG00000030413,Pglyrp1,O88593,PGLYRP1,O75594
ENSG00000008441,ENSMUSG00000001911,Nfix,P70257,NFIX,Q14938
ENSG00000008513,ENSMUSG00000013846,St3gal1,P54751,ST3GAL1,Q11201
ENSG00000008516,ENSMUSG00000023903,Mmp25,Q3U435,MMP25,Q9NPA2
ENSG00000008710,ENSMUSG00000032855,Pkd1,O08852,PKD1,P98161
ENSG00000008735,ENSMUSG00000022619,Mapk8ip2,Q9ERE9,MAPK8IP2,Q13387
ENSG00000008838,ENSMUSG00000017210,Med24,Q99K74,MED24,O75448
ENSG00000008853,ENSMUSG00000022075,Rhobtb2,Q91V93,RHOBTB2,Q9BYZ6
ENSG00000008869,ENSMUSG00000039414,Heatr5b,Q8C547,HEATR5B,Q9P2D3
ENSG00000008952,ENSMUSG00000027706,Sec62,Q8BU14,SEC62,Q99442
ENSG00000008988,ENSMUSG00000028234,Rps20,P60867,RPS20,P60866
ENSG00000009307,ENSMUSG00000068823,Csde1,Q91W50,CSDE1,O75534
ENSG00000009335,ENSMUSG00000039000,Ube3c,Q80U95,UBE3C,Q15386
ENSG00000009413,ENSMUSG00000019841,Rev3l,Q61493,REV3L,O60673
ENSG00000009694,ENSMUSG00000016150,Tenm1,Q9WTS4,TENM1,Q9UKZ4
ENSG00000009709,ENSMUSG00000028736,Pax7,P47239,PAX7,P23759
ENSG00000009724,ENSMUSG00000028979,Masp2,Q91WP0,MASP2,O00187
ENSG00000009765,ENSMUSG00000019762,Iyd,Q9DCX8,IYD,Q6PHW0
ENSG00000009780,ENSMUSG00000028878,Fam76a,Q922G2,FAM76A,Q8TAV0
ENSG00000009830,ENSMUSG00000034126,Pomt2,Q8BGQ4,POMT2,Q9UKY4
ENSG00000009844,ENSMUSG00000019868,Vta1,Q9CR26,VTA1,Q9NP79
ENSG00000009950,ENSMUSG00000005373,Mlxipl,Q99MZ3,MLXIPL,Q9NP71
ENSG00000009954,ENSMUSG00000002748,Baz1b,Q9Z277,BAZ1B,Q9UIG0
ENSG00000010017,ENSMUSG00000038546,Ranbp9,P69566,RANBP9,Q96S59
ENSG00000010072,ENSMUSG00000031986,Sprtn,G3X912,SPRTN,Q9H040
ENSG00000010165,ENSMUSG00000026694,Mettl13,Q91YR5,METTL13,Q8N6R0
ENSG00000010219,ENSMUSG00000030345,Dyrk4,Q8BI55,DYRK4,Q9NR20
ENSG00000010244,ENSMUSG00000017421,Zfp207,Q9JMD0,ZNF207,O43670
ENSG00000010256,ENSMUSG00000025651,Uqcrc1,Q9CZ13,UQCRC1,P31930
ENSG00000010270,ENSMUSG00000003062,Stard3nl,Q9DCI3,STARD3NL,O95772
ENSG00000010278,ENSMUSG00000030342,Cd9,P40240,CD9,P21926
ENSG00000010282,ENSMUSG00000032523,Hhatl,Q9D1G3,HHATL,Q9HCP6
ENSG00000010295,ENSMUSG00000038271,Iffo1,Q8BXL9,IFFO1,Q0D2I5
ENSG00000010310,ENSMUSG00000030406,Gipr,Q0P543,GIPR,P48546
ENSG00000010318,ENSMUSG00000021902,Phf7,Q9DAG9,PHF7,Q9BWX1
ENSG00000010319,ENSMUSG00000021904,Sema3g,Q4LFA9,SEMA3G,Q9NS98
ENSG00000010322,ENSMUSG00000021910,Nisch,Q80TM9,NISCH,Q9Y2I1
ENSG00000010361,ENSMUSG00000011658,Fuz,Q3UYI6,FUZ,Q9BT04
ENSG00000010379,ENSMUSG00000030108,Slc6a13,P31649,SLC6A13,Q9NSD5
ENSG00000010404,ENSMUSG00000035847,Ids,Q08890,IDS,P22304
ENSG00000010438,ENSMUSG00000036938,Try5,Q9QUK9,PRSS3,P35030
ENSG00000010438,ENSMUSG00000054106,Try4,Q9R0T7,PRSS3,P35030
ENSG00000010438,ENSMUSG00000057163,Prss2,P07146,PRSS3,P35030
ENSG00000010610,ENSMUSG00000023274,Cd4,P06332,CD4,P01730
ENSG00000010626,ENSMUSG00000030125,Lrrc23,O35125,LRRC23,Q53EV4
ENSG00000010671,ENSMUSG00000031264,Btk,P35991,BTK,Q06187
ENSG00000010704,ENSMUSG00000006611,Hfe,P70387,HFE,Q30201
ENSG00000010803,ENSMUSG00000000085,Scmh1,Q8K214,SCMH1,Q96GD3
ENSG00000010810,ENSMUSG00000019843,Fyn,P39688,FYN,P06241
ENSG00000010818,ENSMUSG00000015501,Hivep2,Q3UHF7,HIVEP2,P31629
ENSG00000010932,ENSMUSG00000040181,Fmo1,P50285,FMO1,Q01740
ENSG00000011007,ENSMUSG00000028668,Eloa,Q8CB77,ELOA,Q14241
ENSG00000011009,ENSMUSG00000028670,Lypla2,Q9WTL7,LYPLA2,O95372
ENSG00000011021,ENSMUSG00000029016,Clcn6,O35454,CLCN6,P51797
ENSG00000011028,ENSMUSG00000020695,Mrc2,Q64449,MRC2,Q9UBG0
ENSG00000011083,ENSMUSG00000052026,Slc6a7,Q6PGE7,SLC6A7,Q99884
ENSG00000011105,ENSMUSG00000030352,Tspan9,Q8BJU2,TSPAN9,O75954
ENSG00000011114,ENSMUSG00000041702,Btbd7,Q8CFE5,BTBD7,Q9P203
ENSG00000011132,ENSMUSG00000004931,Apba3,O88888,APBA3,O96018
ENSG00000011143,ENSMUSG00000034121,Mks1,Q5SW45,MKS1,Q9NXB0
ENSG00000011198,ENSMUSG00000032540,Abhd5,Q9DBL9,ABHD5,Q8WTS1
ENSG00000011258,ENSMUSG00000059474,Mbtd1,Q6P5G3,MBTD1,Q05BQ5
ENSG00000011260,ENSMUSG00000054079,Utp18,Q5SSI6,UTP18,Q9Y5J1
ENSG00000011275,ENSMUSG00000045078,Rnf216,P58283,RNF216,Q9NWF9
ENSG00000011295,ENSMUSG00000042298,Ttc19,Q8CC21,TTC19,Q6DKK2
ENSG00000011304,ENSMUSG00000006498,Ptbp1,P17225,PTBP1,P26599
ENSG00000011332,ENSMUSG00000030584,Dpf1,Q9QX66,DPF1,Q92782
ENSG00000011347,ENSMUSG00000024743,Syt7,Q9R0N7,SYT7,O43581
ENSG00000011376,ENSMUSG00000035202,Lars2,Q8VDC0,LARS2,Q15031
ENSG00000011422,ENSMUSG00000046223,Plaur,P35456,PLAUR,Q03405
ENSG00000011426,ENSMUSG00000036777,Anln,Q8K298,ANLN,Q9NQW6
ENSG00000011451,ENSMUSG00000024050,Wiz,O88286,WIZ,O95785
ENSG00000011454,ENSMUSG00000035437,Rabgap1,A2AWA9,RABGAP1,Q9Y3P9
ENSG00000011465,ENSMUSG00000019929,Dcn,P28654,DCN,P07585
ENSG00000011478,ENSMUSG00000030407,Qpctl,Q8BH73,QPCTL,Q9NXS2
ENSG00000011485,ENSMUSG00000003099,Ppp5c,Q60676,PPP5C,P53041
ENSG00000011523,ENSMUSG00000044066,Cep68,Q8C0D9,CEP68,Q76N32
ENSG00000011566,ENSMUSG00000024242,Map4k3,Q99JP0,MAP4K3,Q8IVH8
ENSG00000011590,ENSMUSG00000006310,Zbtb32,Q9JKD9,ZBTB32,Q9Y2Y4
ENSG00000011600,ENSMUSG00000030579,Tyrobp,O54885,TYROBP,O43914
ENSG00000011638,ENSMUSG00000030917,Ldaf1,Q922Z1,LDAF1,Q96B96
ENSG00000011677,ENSMUSG00000031343,Gabra3,P26049,GABRA3,P34903
ENSG00000012048,ENSMUSG00000017146,Brca1,P48754,BRCA1,P38398
ENSG00000012061,ENSMUSG00000003549,Ercc1,P07903,ERCC1,P07992
ENSG00000012124,ENSMUSG00000030577,Cd22,P35329,CD22,P20273
ENSG00000012174,ENSMUSG00000046873,Mbtps2,Q8CHX6,MBTPS2,O43462
ENSG00000012174,ENSMUSG00000046873,Mbtps2,Q3TTC2,MBTPS2,O43462
ENSG00000012211,ENSMUSG00000031145,Prickle3,Q80VL3,PRICKLE3,O43900
ENSG00000012223,ENSMUSG00000032496,Ltf,P08071,LTF,P02788
ENSG00000012504,ENSMUSG00000047638,Nr1h4,Q60641,NR1H4,Q96RI1
ENSG00000012660,ENSMUSG00000032349,Elovl5,Q8BHI7,ELOVL5,Q9NYP7
ENSG00000012779,ENSMUSG00000025701,Alox5,P48999,ALOX5,P09917
ENSG00000012817,ENSMUSG00000056673,Kdm5d,Q62240,KDM5D,Q9BY66
ENSG00000012822,ENSMUSG00000023055,Calcoco1,Q8CGU1,CALCOCO1,Q9P1Z2
ENSG00000012963,ENSMUSG00000041712,Ubr7,Q8BU04,UBR7,Q8N806
ENSG00000012983,ENSMUSG00000034761,Map4k5,Q8BPM2,MAP4K5,Q9Y4K4
ENSG00000013016,ENSMUSG00000024065,Ehd3,Q9QXY6,EHD3,Q9NZN3
ENSG00000013275,ENSMUSG00000030603,Psmc4,P54775,PSMC4,P43686
ENSG00000013288,ENSMUSG00000029119,Man2b2,O54782,MAN2B2,Q9Y2E5
ENSG00000013293,ENSMUSG00000069072,Slc7a14,Q8BXR1,SLC7A14,Q8TBB6
ENSG00000013297,ENSMUSG00000037625,Cldn11,Q60771,CLDN11,O75508
ENSG00000013306,ENSMUSG00000018677,Slc25a39,Q9D8K8,SLC25A39,Q9BZJ4
ENSG00000013364,ENSMUSG00000030681,Mvp,Q9EQK5,MVP,Q14764
ENSG00000013374,ENSMUSG00000028954,Nub1,P54729,NUB1,Q9Y5A7
ENSG00000013375,ENSMUSG00000056131,Pgm3,Q9CYR6,PGM3,O95394
ENSG00000013441,ENSMUSG00000026034,Clk1,P22518,CLK1,P49759
ENSG00000013503,ENSMUSG00000034453,Polr3b,P59470,POLR3B,Q9NW08
ENSG00000013523,ENSMUSG00000021257,Angel1,Q8VCU0,ANGEL1,Q9UNK9
ENSG00000013561,ENSMUSG00000060450,Rnf14,Q9JI90,RNF14,Q9UBS8
ENSG00000013563,ENSMUSG00000019088,Dnase1l1,Q9D7J6,DNASE1L1,P49184
ENSG00000013573,ENSMUSG00000035842,Ddx11,Q6AXC6,DDX11,Q96FC9
ENSG00000013619,ENSMUSG00000059401,Mamld1,P0C6A2,MAMLD1,Q13495
ENSG00000013725,ENSMUSG00000024670,Cd6,Q61003,CD6,P30203
ENSG00000014123,ENSMUSG00000040359,Ufl1,Q8CCJ3,UFL1,O94874
ENSG00000014138,ENSMUSG00000024833,Pola2,P33611,POLA2,Q14181
ENSG00000014164,ENSMUSG00000075600,Zc3h3,Q8CHP0,ZC3H3,Q8IXZ2
ENSG00000014216,ENSMUSG00000024942,Capn1,O35350,CAPN1,P07384
ENSG00000014257,ENSMUSG00000032561,Acp3,Q8CE08,ACP3,P15309
ENSG00000014641,ENSMUSG00000020321,Mdh1,P14152,MDH1,P40925
ENSG00000014824,ENSMUSG00000029221,Slc30a9,Q5IRJ6,SLC30A9,Q6PML9
